linea,de,a,nodo_de,nodo_a,L_km,conductor,In_kA,en_pdf
791044,1618741,1618733,1618741,1618733,0.0434,3F_15_CU_2_XLPE,0.155,SI
791045,1618733,9219013A,1618733,9219013,0.0087,3F_15_CU_2_XLPE,0.155,SI
796468,1155679A,1155679B,1155679,1155679,0.0012,3F_15_CU_2_XLPE,0.155,NO
802784,1101251A,1101251E,1101251,1101251,0.0012,3F_15_ACSR_2/0_AIRE,0.275,NO
804306,10 502_Term,1067001C,10 502_Term,1067001,0.014,3F_15_CU_350_XLPE,0.39,SI
806782,1154290B,1154290C,1154290,1154290,0.0012,3F_15_CU_2_XLPE,0.155,NO
806799,1154290C,1154281A,1154290,1154281,0.004,3F_15_CU_2_XLPE,0.155,SI
807671,1101455G,3272567,1101455,3272567,0.016,3F_15_CU_2_XLPE,0.155,SI
807672,3272567,3272664,3272567,3272664,0.0183,3F_15_CU_2_XLPE,0.155,SI
807673,3272664,3272761,3272664,3272761,0.0077,3F_15_CU_2_XLPE,0.155,SI
807674,3272761,3272869,3272761,3272869,0.004,3F_15_CU_2_XLPE,0.155,SI
807675,3272869,3272966A,3272869,3272966,0.003,3F_15_CU_2_XLPE,0.155,SI
812080,1155270,3453561,1155270,3453561,0.016,3F_15_CU_2_XLPE,0.155,SI
812081,3453561,3453464,3453561,3453464,0.0205,3F_15_CU_2_XLPE,0.155,SI
812082,3453464,3453367,3453464,3453367,0.0086,3F_15_CU_2_XLPE,0.155,SI
812083,3453367,3453260A,3453367,3453260,0.0034,3F_15_CU_2_XLPE,0.155,SI
825166,1101277B,1103431,1101277,1103431,0.0165,3F_15_CU_2_XLPE,0.155,SI
825167,1103431,1103458A,1103431,1103458,0.0299,3F_15_CU_2_XLPE,0.155,SI
828934,1101447A,1101455A,1101447,1101455,0.0493,3F_15_CU_4/0_XLPE,0.295,SI
828942,1101455E,1101471A,1101455,1101471,0.0652,3F_15_CU_4/0_XLPE,0.295,SI
828945,1101471A,1101480A,1101471,1101480,0.0708,3F_15_CU_4/0_XLPE,0.295,SI
828948,1101480A,2479567B,1101480,2479567,0.0493,3F_15_CU_4/0_XLPE,0.295,SI
830652,1101382D,1101382E,1101382,1101382,0.0012,3F_15_CU_2_XLPE,0.155,NO
830653,1101382E,4637844,1101382,4637844,0.0165,3F_15_CU_2_XLPE,0.155,SI
830654,4637844,4637852,4637844,4637852,0.0092,3F_15_CU_2_XLPE,0.155,SI
830655,4637852,4637861,4637852,4637861,0.0205,3F_15_CU_2_XLPE,0.155,SI
830657,4637861,4916671A,4637861,4916671,0.0114,3F_15_CU_2_XLPE,0.155,SI
